Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2012,M,25-34,Hispanic,Pneumonia,13
2012,M,25-34,Hispanic,Cerebrovascular Disease,14
2012,M,25-34,Hispanic,AIDS,34
2012,M,25-34,Hispanic,Diseases of the Heart,102
2012,M,25-34,Hispanic,Malignant Neoplasms,118
2012,M,25-34,Hispanic,Accidents,529
2012,M,25-34,Hispanic,All Other Causes,649
2012,M,25-34,Hispanic,Total,"1,471"
2012,M,25-34,Not Stated,Accidents,1
2012,M,25-34,Not Stated,All Other Causes,1
2012,M,25-34,Not Stated,Total,2
2012,M,25-34,White Non Hispanic,All Other Causes,2
2012,M,25-34,White Non Hispanic,Total,2
2012,M,35-44,Black Non Hispanic,All Other Causes,1
2012,M,35-44,Black Non Hispanic,Total,1
2012,M,35-44,Hispanic,Diabetes Mellitus,12
2012,M,35-44,Hispanic,Pneumonia,17
2012,M,35-44,Hispanic,CLRD,28
2012,M,35-44,Hispanic,Cerebrovascular Disease,44
2012,M,35-44,Hispanic,AIDS,65
2012,M,35-44,Hispanic,Malignant Neoplasms,306
2012,M,35-44,Hispanic,Diseases of the Heart,342
2012,M,35-44,Hispanic,Accidents,438
2012,M,35-44,Hispanic,All Other Causes,830
2012,M,35-44,Hispanic,Total,"2,082"
2012,M,35-44,Not Stated,All Other Causes,1
2012,M,35-44,Not Stated,Total,1
2012,M,35-44,White Non Hispanic,AIDS,1
2012,M,35-44,White Non Hispanic,Malignant Neoplasms,1
2012,M,35-44,White Non Hispanic,Total,2
2012,M,45-54,Black Non Hispanic,All Other Causes,3
2012,M,45-54,Black Non Hispanic,Total,3
2012,M,45-54,Hispanic,Diabetes Mellitus,35
2012,M,45-54,Hispanic,Pneumonia,79
2012,M,45-54,Hispanic,CLRD,91
2012,M,45-54,Hispanic,Cerebrovascular Disease,150
2012,M,45-54,Hispanic,AIDS,172
2012,M,45-54,Hispanic,Accidents,627
2012,M,45-54,Hispanic,Diseases of the Heart,"1,307"
2012,M,45-54,Hispanic,Malignant Neoplasms,"1,321"
2012,M,45-54,Hispanic,All Other Causes,"1,836"
2012,M,45-54,Hispanic,Total,"5,618"
2012,M,45-54,Not Stated,Accidents,1
2012,M,45-54,Not Stated,Diseases of the Heart,1
2012,M,45-54,Not Stated,Total,2
2012,M,45-54,White Non Hispanic,Accidents,1
2012,M,45-54,White Non Hispanic,Cerebrovascular Disease,1
2012,M,45-54,White Non Hispanic,Malignant Neoplasms,1
2012,M,45-54,White Non Hispanic,All Other Causes,5
2012,M,45-54,White Non Hispanic,Total,8
2012,M,55-64,Hispanic,Diabetes Mellitus,70
2012,M,55-64,Hispanic,AIDS,154
2012,M,55-64,Hispanic,Pneumonia,176
2012,M,55-64,Hispanic,Cerebrovascular Disease,265
2012,M,55-64,Hispanic,CLRD,341
2012,M,55-64,Hispanic,Accidents,457
2012,M,55-64,Hispanic,Diseases of the Heart,"2,800"
2012,M,55-64,Hispanic,All Other Causes,"2,879"
2012,M,55-64,Hispanic,Malignant Neoplasms,"3,390"
2012,M,55-64,Hispanic,Total,"10,532"
2012,M,55-64,Not Stated,All Other Causes,1
2012,M,55-64,Not Stated,Cerebrovascular Disease,1
2012,M,55-64,Not Stated,Diseases of the Heart,1
2012,M,55-64,Not Stated,Total,3
2012,M,55-64,White Non Hispanic,Accidents,1
2012,M,55-64,White Non Hispanic,CLRD,1
2012,M,55-64,White Non Hispanic,Pneumonia,1
2012,M,55-64,White Non Hispanic,Malignant Neoplasms,2
2012,M,55-64,White Non Hispanic,All Other Causes,7
2012,M,55-64,White Non Hispanic,Diseases of the Heart,10
2012,M,55-64,White Non Hispanic,Total,22
2012,M,65-74,Black Non Hispanic,Accidents,1
2012,M,65-74,Black Non Hispanic,Diseases of the Heart,1
2012,M,65-74,Black Non Hispanic,Malignant Neoplasms,1
2012,M,65-74,Black Non Hispanic,All Other Causes,2
2012,M,65-74,Black Non Hispanic,CLRD,2
2012,M,65-74,Black Non Hispanic,Total,7
2012,M,65-74,Hispanic,AIDS,62
2012,M,65-74,Hispanic,Diabetes Mellitus,78
2012,M,65-74,Hispanic,Accidents,286
2012,M,65-74,Hispanic,Pneumonia,302
2012,M,65-74,Hispanic,Cerebrovascular Disease,397
2012,M,65-74,Hispanic,CLRD,646
2012,M,65-74,Hispanic,All Other Causes,"2,958"
2012,M,65-74,Hispanic,Diseases of the Heart,"3,581"
2012,M,65-74,Hispanic,Malignant Neoplasms,"4,656"
2012,M,65-74,Hispanic,Total,"12,966"
2012,M,65-74,Not Stated,Accidents,1
2012,M,65-74,Not Stated,All Other Causes,2
2012,M,65-74,Not Stated,Diseases of the Heart,3
2012,M,65-74,Not Stated,Total,6
2012,M,65-74,White Non Hispanic,Accidents,2
2012,M,65-74,White Non Hispanic,Cerebrovascular Disease,2
2012,M,65-74,White Non Hispanic,CLRD,3
2012,M,65-74,White Non Hispanic,Malignant Neoplasms,3
2012,M,65-74,White Non Hispanic,Diseases of the Heart,4
2012,M,65-74,White Non Hispanic,Total,14
2012,M,75-84,Black Non Hispanic,Diseases of the Heart,1
2012,M,75-84,Black Non Hispanic,Total,1
2012,M,75-84,Hispanic,AIDS,14
2012,M,75-84,Hispanic,Diabetes Mellitus,106
2012,M,75-84,Hispanic,Accidents,367
2012,M,75-84,Hispanic,Pneumonia,609
2012,M,75-84,Hispanic,Cerebrovascular Disease,743
2012,M,75-84,Hispanic,CLRD,"1,045"
2012,M,75-84,Hispanic,All Other Causes,"4,657"
2012,M,75-84,Hispanic,Malignant Neoplasms,"4,960"
2012,M,75-84,Hispanic,Diseases of the Heart,"5,437"
2012,M,75-84,Hispanic,Total,"17,938"
2012,M,75-84,Not Stated,Diseases of the Heart,1
2012,M,75-84,Not Stated,Malignant Neoplasms,1
2012,M,75-84,Not Stated,All Other Causes,2
2012,M,75-84,Not Stated,Total,4
2012,M,75-84,White Non Hispanic,Pneumonia,1
2012,M,75-84,White Non Hispanic,Diseases of the Heart,2
2012,M,75-84,White Non Hispanic,Malignant Neoplasms,3
2012,M,75-84,White Non Hispanic,All Other Causes,4
2012,M,75-84,White Non Hispanic,Total,10
2012,M,85+,Black Non Hispanic,Diseases of the Heart,1
2012,M,85+,Black Non Hispanic,Total,1
2012,M,85+,Hispanic,Diabetes Mellitus,82
2012,M,85+,Hispanic,Accidents,393
2012,M,85+,Hispanic,Cerebrovascular Disease,768
2012,M,85+,Hispanic,Pneumonia,866
2012,M,85+,Hispanic,CLRD,871
2012,M,85+,Hispanic,Malignant Neoplasms,"2,947"
2012,M,85+,Hispanic,All Other Causes,"5,538"
2012,M,85+,Hispanic,Diseases of the Heart,"7,184"
2012,M,85+,Hispanic,Total,"18,649"
2012,M,85+,Not Stated,CLRD,1
2012,M,85+,Not Stated,Diseases of the Heart,1
2012,M,85+,Not Stated,Malignant Neoplasms,1
2012,M,85+,Not Stated,Total,3
2012,M,85+,White Non Hispanic,Malignant Neoplasms,1
2012,M,85+,White Non Hispanic,Pneumonia,1
2012,M,85+,White Non Hispanic,All Other Causes,4
2012,M,85+,White Non Hispanic,Diseases of the Heart,4
2012,M,85+,White Non Hispanic,Total,10
2012,M,<1,Black Non Hispanic,All Other Causes,1
2012,M,<1,Black Non Hispanic,Total,1
2012,M,<1,Hispanic,Malignant Neoplasms,1
2012,M,<1,Hispanic,Cerebrovascular Disease,4
2012,M,<1,Hispanic,Pneumonia,5
2012,M,<1,Hispanic,Diseases of the Heart,9
2012,M,<1,Hispanic,Accidents,24
2012,M,<1,Hispanic,All Other Causes,607
2012,M,<1,Hispanic,Total,650
2012,M,<1,Not Stated,All Other Causes,2
2012,M,<1,Not Stated,Total,2
2011,M,85+,Black Non Hispanic,Malignant Neoplasms,1
2011,M,85+,Black Non Hispanic,All Other Causes,1
2011,M,75-84,White Non Hispanic,Total,10
2011,M,75-84,White Non Hispanic,All Other Causes,5
2011,M,75-84,White Non Hispanic,Malignant Neoplasms,2
2011,M,75-84,White Non Hispanic,Diseases of the Heart,2
2011,M,75-84,White Non Hispanic,CLRD,1
2011,M,75-84,Not Stated,Total,3
2011,M,75-84,Not Stated,All Other Causes,2
2011,M,75-84,Not Stated,Diseases of the Heart,1
2011,M,75-84,Hispanic,Total,"17,979"
2011,M,75-84,Hispanic,Diseases of the Heart,"5,569"
2011,M,75-84,Hispanic,Malignant Neoplasms,"4,836"
2011,M,75-84,Hispanic,All Other Causes,"4,613"
2011,M,75-84,Hispanic,CLRD,"1,079"
2011,M,75-84,Hispanic,Cerebrovascular Disease,755
2011,M,75-84,Hispanic,Pneumonia,648
2011,M,75-84,Hispanic,Accidents,357
2011,M,75-84,Hispanic,Diabetes Mellitus,107
2011,M,75-84,Hispanic,AIDS,15
2011,M,75-84,Black Non Hispanic,Total,7
2011,M,75-84,Black Non Hispanic,Diseases of the Heart,3
2011,M,75-84,Black Non Hispanic,Malignant Neoplasms,2
2011,M,75-84,Black Non Hispanic,CLRD,1
2011,M,75-84,Black Non Hispanic,All Other Causes,1
2011,M,65-74,White Non Hispanic,Total,15
2011,M,65-74,White Non Hispanic,Diseases of the Heart,7
2011,M,65-74,White Non Hispanic,Malignant Neoplasms,4
2011,M,65-74,White Non Hispanic,All Other Causes,2
2011,M,65-74,White Non Hispanic,CLRD,1
2011,M,65-74,White Non Hispanic,Accidents,1
2011,M,65-74,Not Stated,Total,3
2011,M,65-74,Not Stated,Malignant Neoplasms,2
2011,M,65-74,Not Stated,CLRD,1
2011,M,65-74,Hispanic,Total,"12,755"
2011,M,65-74,Hispanic,Malignant Neoplasms,"4,399"
2011,M,65-74,Hispanic,Diseases of the Heart,"3,580"
2011,M,65-74,Hispanic,All Other Causes,"2,957"
2011,M,65-74,Hispanic,CLRD,727
2011,M,65-74,Hispanic,Cerebrovascular Disease,414
2011,M,65-74,Hispanic,Pneumonia,301
2011,M,65-74,Hispanic,Accidents,243
2011,M,65-74,Hispanic,Diabetes Mellitus,83
2011,M,65-74,Hispanic,AIDS,51
2011,M,65-74,Black Non Hispanic,Total,4
2011,M,65-74,Black Non Hispanic,Diseases of the Heart,2
2011,M,65-74,Black Non Hispanic,Diabetes Mellitus,1
2011,M,65-74,Black Non Hispanic,All Other Causes,1
2011,M,55-64,White Non Hispanic,Total,12
2011,M,55-64,White Non Hispanic,All Other Causes,5
2011,M,55-64,White Non Hispanic,Diseases of the Heart,3
2011,M,55-64,White Non Hispanic,Accidents,3
2011,M,55-64,White Non Hispanic,CLRD,1
2011,M,55-64,Not Stated,Total,4
2011,M,55-64,Not Stated,Accidents,3
2011,M,55-64,Not Stated,Malignant Neoplasms,1
2011,M,55-64,Hispanic,Total,"10,404"
2011,M,55-64,Hispanic,Malignant Neoplasms,"3,402"
2011,M,55-64,Hispanic,All Other Causes,"2,850"
2011,M,55-64,Hispanic,Diseases of the Heart,"2,700"
2011,M,55-64,Hispanic,Accidents,421
2011,M,55-64,Hispanic,Cerebrovascular Disease,288
2011,M,55-64,Hispanic,Pneumonia,203
2011,M,55-64,Hispanic,AIDS,149
2011,M,55-64,Hispanic,Diabetes Mellitus,60
2011,M,55-64,Black Non Hispanic,Total,4
2011,M,55-64,Black Non Hispanic,Diseases of the Heart,2
2011,M,55-64,Black Non Hispanic,Malignant Neoplasms,1
2011,M,55-64,Black Non Hispanic,All Other Causes,1
2011,M,45-54,White Non Hispanic,Total,3
2011,M,45-54,White Non Hispanic,Diseases of the Heart,1
2011,M,45-54,White Non Hispanic,All Other Causes,1
2011,M,25-34,Black Non Hispanic,All Other Causes,1
2011,M,45-54,White Non Hispanic,Accidents,1
2011,M,45-54,Not Stated,Total,2
2011,M,45-54,Not Stated,All Other Causes,2
2011,M,45-54,Hispanic,Total,"5,760"
2011,M,45-54,Hispanic,All Other Causes,"1,921"
2011,M,45-54,Hispanic,Malignant Neoplasms,"1,356"
2011,M,45-54,Hispanic,Diseases of the Heart,"1,328"
2011,M,45-54,Hispanic,Accidents,626
2011,M,45-54,Hispanic,AIDS,175
2011,M,45-54,Hispanic,Cerebrovascular Disease,125
2011,M,45-54,Hispanic,CLRD,103
2011,M,45-54,Hispanic,Pneumonia,94
2011,M,45-54,Hispanic,Diabetes Mellitus,32
2011,M,45-54,Black Non Hispanic,Total,3
2011,M,45-54,Black Non Hispanic,All Other Causes,3
2011,M,35-44,White Non Hispanic,Total,2
2011,M,35-44,White Non Hispanic,All Other Causes,1
2011,M,35-44,White Non Hispanic,Accidents,1
2011,M,35-44,Not Stated,Total,1
2011,M,35-44,Not Stated,Cerebrovascular Disease,1
2011,M,55-64,Hispanic,CLRD,331
2011,M,35-44,Hispanic,Total,"2,131"
2011,M,35-44,Hispanic,All Other Causes,884
2011,M,35-44,Hispanic,Accidents,434
2011,M,35-44,Hispanic,Diseases of the Heart,343
2011,M,35-44,Hispanic,Malignant Neoplasms,288
2011,M,35-44,Hispanic,AIDS,77
2011,M,35-44,Hispanic,Cerebrovascular Disease,43
2011,M,35-44,Hispanic,Pneumonia,27
2011,M,35-44,Hispanic,CLRD,24
2011,M,35-44,Hispanic,Diabetes Mellitus,11
2011,M,35-44,Black Non Hispanic,Total,1
2011,M,35-44,Black Non Hispanic,Accidents,1
2011,M,25-34,White Non Hispanic,Total,2
2011,M,25-34,White Non Hispanic,All Other Causes,2
2011,M,25-34,Hispanic,Total,"1,438"
2011,M,25-34,Hispanic,All Other Causes,684
2011,M,25-34,Hispanic,Accidents,463
2011,M,25-34,Hispanic,Diseases of the Heart,110
2011,M,25-34,Hispanic,Malignant Neoplasms,98
2011,M,25-34,Hispanic,AIDS,24
2011,M,25-34,Hispanic,Cerebrovascular Disease,22
2011,M,25-34,Hispanic,Pneumonia,21
2011,M,25-34,Hispanic,CLRD,12
2011,M,25-34,Hispanic,Diabetes Mellitus,4
2011,M,25-34,Black Non Hispanic,Total,2
2011,M,25-34,Black Non Hispanic,Diabetes Mellitus,1
2011,F,25-34,Hispanic,CLRD,12
2011,F,25-34,Hispanic,AIDS,11
2011,M,<1,White Non Hispanic,Total,1
2011,M,<1,White Non Hispanic,All Other Causes,1
2011,M,<1,Not Stated,Total,1
2011,M,<1,Not Stated,All Other Causes,1
2011,M,<1,Hispanic,Total,647
2011,M,<1,Hispanic,All Other Causes,605
2011,M,<1,Hispanic,Accidents,17
2011,M,<1,Hispanic,Diseases of the Heart,15
2011,M,<1,Hispanic,Pneumonia,5
2011,M,<1,Hispanic,Malignant Neoplasms,3
2011,M,<1,Hispanic,Cerebrovascular Disease,1
2011,M,<1,Hispanic,CLRD,1
2011,M,85+,White Non Hispanic,Total,11
2011,M,85+,White Non Hispanic,Diseases of the Heart,5
2011,M,85+,White Non Hispanic,Malignant Neoplasms,3
2011,M,85+,White Non Hispanic,All Other Causes,3
2011,M,85+,Not Stated,Total,3
2011,M,85+,Not Stated,All Other Causes,2
2011,M,85+,Not Stated,Diseases of the Heart,1
2011,M,85+,Hispanic,Total,"18,076"
2011,M,85+,Hispanic,Diseases of the Heart,"6,963"
2011,M,85+,Hispanic,All Other Causes,"5,272"
2011,F,9-Jan,Hispanic,CLRD,1
2011,F,9-Jan,Hispanic,Pneumonia,2
2011,F,9-Jan,Hispanic,Cerebrovascular Disease,3
2011,F,9-Jan,Hispanic,Diseases of the Heart,8
2011,F,9-Jan,Hispanic,Accidents,22
2011,F,9-Jan,Hispanic,Malignant Neoplasms,24
2011,F,9-Jan,Hispanic,All Other Causes,73
2011,F,9-Jan,Hispanic,Total,133
2011,F,19-Oct,Hispanic,Cerebrovascular Disease,2
2011,F,19-Oct,Hispanic,Pneumonia,2
2011,F,19-Oct,Hispanic,Diseases of the Heart,3
2011,F,19-Oct,Hispanic,CLRD,5
2011,F,19-Oct,Hispanic,Malignant Neoplasms,23
2011,F,19-Oct,Hispanic,Accidents,39
2011,F,19-Oct,Hispanic,All Other Causes,103
2011,F,19-Oct,Hispanic,Total,177
2011,F,19-Oct,Other Non Hispanic,All Other Causes,1
2011,F,19-Oct,Other Non Hispanic,Total,1
2011,F,20-24,Hispanic,Cerebrovascular Disease,2
2011,F,20-24,Hispanic,AIDS,3
2011,F,20-24,Hispanic,Pneumonia,5
2011,F,20-24,Hispanic,Diseases of the Heart,8
2011,F,20-24,Hispanic,Malignant Neoplasms,25
2011,F,20-24,Hispanic,Accidents,81
2011,F,20-24,Hispanic,All Other Causes,116
2011,F,20-24,Hispanic,Total,240
2011,F,25-34,Hispanic,Pneumonia,4
2011,F,25-34,Hispanic,Diabetes Mellitus,5
2011,F,25-34,Hispanic,Cerebrovascular Disease,7
2011,F,25-34,Hispanic,Diseases of the Heart,40
2011,F,25-34,Hispanic,Malignant Neoplasms,119
2011,F,25-34,Hispanic,Accidents,132
2011,F,25-34,Hispanic,All Other Causes,306
2011,F,25-34,Hispanic,Total,636
2011,F,25-34,White Non Hispanic,All Other Causes,1
2011,F,25-34,White Non Hispanic,Total,1
2011,F,35-44,Black Non Hispanic,AIDS,1
2011,F,35-44,Black Non Hispanic,Diseases of the Heart,1
2011,F,35-44,Black Non Hispanic,Total,2
2011,F,35-44,Hispanic,Diabetes Mellitus,7
2011,F,35-44,Hispanic,CLRD,21
2011,F,35-44,Hispanic,Pneumonia,22
2011,F,35-44,Hispanic,Cerebrovascular Disease,31
2011,F,35-44,Hispanic,AIDS,43
2011,F,35-44,Hispanic,Accidents,135
2011,F,35-44,Hispanic,Diseases of the Heart,145
2011,F,35-44,Hispanic,Malignant Neoplasms,398
2011,F,35-44,Hispanic,All Other Causes,493
2011,F,35-44,Hispanic,Total,"1,295"
2011,F,45-54,Black Non Hispanic,All Other Causes,1
2011,F,45-54,Black Non Hispanic,Total,1
2011,F,45-54,Hispanic,Diabetes Mellitus,22
2011,F,45-54,Hispanic,Pneumonia,56
2011,F,45-54,Hispanic,CLRD,78
2011,F,45-54,Hispanic,AIDS,101
2011,F,45-54,Hispanic,Cerebrovascular Disease,113
2011,F,45-54,Hispanic,Accidents,260
2011,F,45-54,Hispanic,Diseases of the Heart,503
2011,F,45-54,Hispanic,All Other Causes,"1,068"
2011,F,45-54,Hispanic,Malignant Neoplasms,"1,469"
2011,F,45-54,Hispanic,Total,"3,670"
2011,F,45-54,White Non Hispanic,All Other Causes,1
2011,F,45-54,White Non Hispanic,Cerebrovascular Disease,1
2011,F,45-54,White Non Hispanic,Accidents,2
2011,F,45-54,White Non Hispanic,Malignant Neoplasms,3
2011,F,45-54,White Non Hispanic,Total,7
2011,F,55-64,Hispanic,AIDS,57
2011,F,55-64,Hispanic,Diabetes Mellitus,60
2011,F,55-64,Hispanic,Pneumonia,126
2011,F,55-64,Hispanic,Accidents,212
2011,F,55-64,Hispanic,Cerebrovascular Disease,215
2011,F,55-64,Hispanic,CLRD,251
2011,F,55-64,Hispanic,Diseases of the Heart,"1,254"
2011,F,55-64,Hispanic,All Other Causes,"1,622"
2011,F,55-64,Hispanic,Malignant Neoplasms,"3,073"
2011,F,55-64,Hispanic,Total,"6,870"
2011,F,55-64,Not Stated,Malignant Neoplasms,1
2011,F,55-64,Not Stated,Total,1
2011,F,55-64,White Non Hispanic,Diseases of the Heart,1
2011,F,55-64,White Non Hispanic,Malignant Neoplasms,1
2011,F,55-64,White Non Hispanic,All Other Causes,2
2011,F,55-64,White Non Hispanic,Total,4
2011,F,65-74,Hispanic,AIDS,13
2011,F,65-74,Hispanic,Diabetes Mellitus,65
2011,F,65-74,Hispanic,Accidents,160
2011,F,65-74,Hispanic,Pneumonia,227
2011,F,65-74,Hispanic,Cerebrovascular Disease,403
2011,F,65-74,Hispanic,CLRD,668
2011,F,65-74,Hispanic,Diseases of the Heart,"2,259"
2011,F,65-74,Hispanic,All Other Causes,"2,408"
2011,F,65-74,Hispanic,Malignant Neoplasms,"3,998"
2011,F,65-74,Hispanic,Total,"10,201"
2011,F,65-74,Not Stated,All Other Causes,1
2011,F,65-74,Not Stated,Diseases of the Heart,1
2011,F,65-74,Not Stated,Pneumonia,1
2011,F,65-74,Not Stated,Total,3
2011,F,65-74,Other Non Hispanic,Malignant Neoplasms,1
2011,F,65-74,Other Non Hispanic,Total,1
2011,F,65-74,White Non Hispanic,Accidents,1
2011,F,65-74,White Non Hispanic,Diseases of the Heart,1
2011,F,65-74,White Non Hispanic,All Other Causes,3
2011,F,65-74,White Non Hispanic,Total,5
2011,F,75-84,Black Non Hispanic,Cerebrovascular Disease,1
2011,F,75-84,Black Non Hispanic,Diseases of the Heart,1
2011,F,75-84,Black Non Hispanic,Total,2
2011,F,75-84,Hispanic,AIDS,2
2011,F,75-84,Hispanic,Diabetes Mellitus,108
2011,F,75-84,Hispanic,Accidents,300
2011,F,75-84,Hispanic,Pneumonia,599
2011,F,75-84,Hispanic,Cerebrovascular Disease,"1,034"
2011,F,75-84,Hispanic,CLRD,"1,299"
2011,F,75-84,Hispanic,Malignant Neoplasms,"4,802"
2011,F,75-84,Hispanic,All Other Causes,"5,311"
2011,F,75-84,Hispanic,Diseases of the Heart,"5,599"
2011,F,75-84,Hispanic,Total,"19,054"
2011,F,75-84,Not Stated,All Other Causes,1
2011,F,75-84,Not Stated,CLRD,1
2011,F,75-84,Not Stated,Total,2
2011,F,75-84,White Non Hispanic,Malignant Neoplasms,3
2011,F,75-84,White Non Hispanic,All Other Causes,4
2011,F,75-84,White Non Hispanic,Diseases of the Heart,5
2011,F,75-84,White Non Hispanic,Total,12
2011,F,85+,Black Non Hispanic,All Other Causes,1
2011,F,85+,Black Non Hispanic,Diseases of the Heart,1
2011,F,85+,Black Non Hispanic,Total,2
2011,F,85+,Hispanic,Diabetes Mellitus,130
2011,F,85+,Hispanic,Accidents,543
2011,F,85+,Hispanic,CLRD,"1,393"
2011,F,85+,Hispanic,Pneumonia,"1,421"
2011,F,85+,Hispanic,Cerebrovascular Disease,"1,918"
2011,F,85+,Hispanic,Malignant Neoplasms,"3,745"
2011,F,85+,Hispanic,All Other Causes,"11,005"
2011,F,85+,Hispanic,Diseases of the Heart,"13,426"
2011,F,85+,Hispanic,Total,"33,581"
2011,F,85+,White Non Hispanic,Accidents,1
2011,F,85+,White Non Hispanic,Cerebrovascular Disease,1
2011,F,85+,White Non Hispanic,Pneumonia,1
2011,F,85+,White Non Hispanic,Malignant Neoplasms,3
2011,F,85+,White Non Hispanic,All Other Causes,7
2011,F,85+,White Non Hispanic,Diseases of the Heart,8
2011,F,85+,White Non Hispanic,Total,21
2011,F,<1,Hispanic,CLRD,1
2011,F,<1,Hispanic,Malignant Neoplasms,2
2011,F,<1,Hispanic,Pneumonia,2
2011,F,<1,Hispanic,Diseases of the Heart,8
2011,F,<1,Hispanic,Accidents,14
2011,F,<1,Hispanic,All Other Causes,524
2011,F,<1,Hispanic,Total,551
2011,F,<1,White Non Hispanic,All Other Causes,1
2011,M,20-24,White Non Hispanic,Total,2
2011,F,<1,White Non Hispanic,Total,1
2011,M,9-Jan,Hispanic,Pneumonia,3
2011,M,9-Jan,Hispanic,CLRD,5
2011,M,9-Jan,Hispanic,Cerebrovascular Disease,5
2011,M,9-Jan,Hispanic,Diseases of the Heart,6
2011,M,9-Jan,Hispanic,Malignant Neoplasms,27
2011,M,9-Jan,Hispanic,Accidents,32
2011,M,9-Jan,Hispanic,All Other Causes,94
2011,M,9-Jan,Hispanic,Total,172
2011,M,19-Oct,Black Non Hispanic,All Other Causes,1
2011,M,19-Oct,Black Non Hispanic,Total,1
2011,M,19-Oct,Hispanic,Cerebrovascular Disease,2
2011,M,19-Oct,Hispanic,Diabetes Mellitus,2
2011,M,19-Oct,Hispanic,Pneumonia,6
2011,M,19-Oct,Hispanic,CLRD,8
2011,M,19-Oct,Hispanic,Diseases of the Heart,22
2011,M,19-Oct,Hispanic,Malignant Neoplasms,46
2011,M,19-Oct,Hispanic,Accidents,129
2011,M,19-Oct,Hispanic,All Other Causes,237
2011,M,19-Oct,Hispanic,Total,452
2011,M,20-24,Hispanic,Cerebrovascular Disease,1
2011,M,20-24,Hispanic,Diabetes Mellitus,1
2011,M,20-24,Hispanic,Pneumonia,2
2011,M,20-24,Hispanic,CLRD,6
2011,M,20-24,Hispanic,AIDS,7
2011,M,20-24,Hispanic,Diseases of the Heart,22
2011,M,20-24,Hispanic,Malignant Neoplasms,37
2011,M,20-24,Hispanic,Accidents,246
2011,M,20-24,Hispanic,All Other Causes,363
2011,M,20-24,Hispanic,Total,685
2011,M,20-24,White Non Hispanic,Accidents,1
2011,M,20-24,White Non Hispanic,All Other Causes,1
2011,M,85+,Hispanic,Malignant Neoplasms,"2,772"
2011,M,85+,Hispanic,Pneumonia,"1,030"
2011,M,85+,Hispanic,CLRD,859
2011,M,85+,Hispanic,Cerebrovascular Disease,763
2011,M,85+,Hispanic,Accidents,349
2011,M,85+,Hispanic,Diabetes Mellitus,65
2011,M,85+,Hispanic,AIDS,3
2011,M,85+,Black Non Hispanic,Total,2
2010,M,20-24,Hispanic,All Other Causes,371
2010,M,25-34,Black Non Hispanic,All Other Causes,2
2010,M,25-34,Black Non Hispanic,Total,2
2010,M,25-34,Hispanic,CLRD,12
2010,M,25-34,Hispanic,Pneumonia,13
2010,M,25-34,Hispanic,Cerebrovascular Disease,17
2010,M,25-34,Hispanic,AIDS,22
2010,M,25-34,Hispanic,Malignant Neoplasms,104
2010,M,25-34,Hispanic,Diseases of the Heart,113
2010,M,25-34,Hispanic,Accidents,381
2010,M,25-34,Hispanic,All Other Causes,690
2010,M,25-34,Hispanic,Total,"1,352"
2010,M,25-34,White Non Hispanic,Accidents,1
2010,M,25-34,White Non Hispanic,All Other Causes,1
2010,M,25-34,White Non Hispanic,Total,2
2010,M,35-44,Black Non Hispanic,All Other Causes,1
2010,M,35-44,Black Non Hispanic,Total,1
2010,M,35-44,Hispanic,Diabetes Mellitus,9
2010,M,35-44,Hispanic,CLRD,25
2010,M,35-44,Hispanic,Pneumonia,30
2010,M,35-44,Hispanic,Cerebrovascular Disease,46
2010,M,35-44,Hispanic,AIDS,84
2010,M,35-44,Hispanic,Malignant Neoplasms,289
2010,M,35-44,Hispanic,Accidents,391
2010,M,35-44,Hispanic,Diseases of the Heart,405
2010,M,35-44,Hispanic,All Other Causes,906
2010,M,35-44,Hispanic,Total,"2,185"
2010,M,35-44,Not Stated,All Other Causes,1
2010,M,35-44,Not Stated,Total,1
2010,M,35-44,White Non Hispanic,Diseases of the Heart,1
2010,M,35-44,White Non Hispanic,Accidents,2
2010,M,35-44,White Non Hispanic,Total,3
2010,M,45-54,Hispanic,Diabetes Mellitus,35
2010,M,45-54,Hispanic,Pneumonia,88
2010,M,45-54,Hispanic,CLRD,108
2010,M,45-54,Hispanic,Cerebrovascular Disease,176
2010,M,45-54,Hispanic,AIDS,221
2010,M,45-54,Hispanic,Accidents,495
2010,M,45-54,Hispanic,Malignant Neoplasms,"1,377"
2010,M,45-54,Hispanic,Diseases of the Heart,"1,406"
2010,M,45-54,Hispanic,All Other Causes,"1,926"
2010,M,45-54,Hispanic,Total,"5,832"
2010,M,45-54,Not Stated,All Other Causes,1
2010,M,45-54,Not Stated,Malignant Neoplasms,1
2010,M,45-54,Not Stated,Total,2
2010,M,45-54,White Non Hispanic,Accidents,1
2010,M,45-54,White Non Hispanic,All Other Causes,1
2010,M,45-54,White Non Hispanic,Diseases of the Heart,2
2010,M,45-54,White Non Hispanic,Total,4
2010,M,55-64,Black Non Hispanic,Accidents,1
2010,M,55-64,Black Non Hispanic,All Other Causes,2
2010,M,55-64,Black Non Hispanic,Total,3
2010,M,55-64,Hispanic,Diabetes Mellitus,56
2010,M,55-64,Hispanic,AIDS,174
2010,M,55-64,Hispanic,Pneumonia,190
2010,M,55-64,Hispanic,Cerebrovascular Disease,262
2010,M,55-64,Hispanic,CLRD,304
2010,M,55-64,Hispanic,Accidents,409
2010,M,55-64,Hispanic,All Other Causes,"2,668"
